3.5;Glycine;NR;NR_SWEET_4;-0.5089
3.5;Histidine;NR;NR_SWEET_4;-5.8932
3.5;Isolucine;DR;DR_SWEET_5;0.8073
3.5;Isolucine;NS;NS_SWEET_2;2.13
3.5;Leucine;DR;DR_SWEET_5;-1.0347
3.5;Leucine;NS;NS_SWEET_2;-3.3555
3.5;Lysine;NR;NR_SWEET_4;-6.0316
3.5;Malic_acid;DR;DR_SWEET_6;0.2452
3.5;Malic_acid;NR;NR_SWEET_4;-3.4673
3.5;Maltose;NS;NS_SWEET_2;-0.4904
3.5;Methionine;NR;NR_SWEET_4;-4.1482
3.5;Methionine;NS;NS_SWEET_4;-1.0402;NS_SWEET_5;-1.2761
3.5;myo-Insitol;NS;NS_SWEET_2;7.7665
3.5;Ornithine;NR;NR_SWEET_4;-3.0719
3.5;Ornithine;NS;NS_SWEET_2;-1.7877
3.5;Phenylalanine;NR;NR_SWEET_4;-1.5822
3.5;Phosphoric_acid;DR;DR_SWEET_6;3.474
3.5;Phosphoric_acid;NR;NR_SWEET_3;4.6896;NR_SWEET_4;0.9547
3.5;Phosphoric_acid;NS;NS_SWEET_2;-3.2403
3.5;Proline;DS;DS_SWEET_1;-0.7631
3.5;Proline;NR;NR_SWEET_4;-1.3909
3.5;Proline;NS;NS_SWEET_2;6.358
3.5;Putrescine;DR;DR_SWEET_1;-3.5274
3.5;Putrescine;NS;NS_SWEET_2;-2.3826
3.5;Pyruvic_acid;DR;DR_SWEET_2;-3.4684;DR_SWEET_3;-3.7721
3.5;Pyruvic_acid;NS;NS_SWEET_2;-1.0454
3.5;Serine;NR;NR_SWEET_4;0.5136
3.5;Serine;NS;NS_SWEET_2;0.9394
3.5;Succinic_acid;DR;DR_SWEET_6;-5.0582
3.5;Succinic_acid;NS;NS_SWEET_2;-1.0729
3.5;Trehalose;DR;DR_SWEET_6;-9.4027
3.5;Tryptophan;NR;NR_SWEET_4;-3.3066
3.5;Tyrosine;NR;NR_SWEET_4;-3.0628
3.5;Valine;DR;DR_SWEET_5;2.2627
3.5;Tetradecanoic_acid;DS;DS_SWEET_3;-3.9453
3.5;Octadecanoic_acid;DR;DR_SWEET_2;-1.7622
3.5;Docosanoic_acid;NR;NR_SWEET_4;-6.9132
3.5;Nicotinic_acid;DS;DS_SWEET_6;-4.6973
3.5;Nicotinic_acid;NR;NR_SWEET_4;-5.0777
